"Step","Group: v0.4-1.4b-71000-early_3a597f65 - train/lm_loss","Group: v0.4-1.4b-71000-early_3a597f65 - train/lm_loss__MIN","Group: v0.4-1.4b-71000-early_3a597f65 - train/lm_loss__MAX","Group: v0.4-1.4b-12000-early_q6iiabwo - train/lm_loss","Group: v0.4-1.4b-12000-early_q6iiabwo - train/lm_loss__MIN","Group: v0.4-1.4b-12000-early_q6iiabwo - train/lm_loss__MAX","Group: v0.4-1.4b-24000-early_3ex2zppb - train/lm_loss","Group: v0.4-1.4b-24000-early_3ex2zppb - train/lm_loss__MIN","Group: v0.4-1.4b-24000-early_3ex2zppb - train/lm_loss__MAX","Group: v0.4-1.4b-48000-early_29jijj3r - train/lm_loss","Group: v0.4-1.4b-48000-early_29jijj3r - train/lm_loss__MIN","Group: v0.4-1.4b-48000-early_29jijj3r - train/lm_loss__MAX","Group: v0.4-1.4b-6000-early_g4lt2cr2 - train/lm_loss","Group: v0.4-1.4b-6000-early_g4lt2cr2 - train/lm_loss__MIN","Group: v0.4-1.4b-6000-early_g4lt2cr2 - train/lm_loss__MAX","Group: v0.4-1.4b-1000-early_y5ialoa5 - train/lm_loss","Group: v0.4-1.4b-1000-early_y5ialoa5 - train/lm_loss__MIN","Group: v0.4-1.4b-1000-early_y5ialoa5 - train/lm_loss__MAX","Group: v0.4-1.4b-2000-early_i9jqw7li - train/lm_loss","Group: v0.4-1.4b-2000-early_i9jqw7li - train/lm_loss__MIN","Group: v0.4-1.4b-2000-early_i9jqw7li - train/lm_loss__MAX","Group: v0.4-1.4b-128-early_1ngsckkl - train/lm_loss","Group: v0.4-1.4b-128-early_1ngsckkl - train/lm_loss__MIN","Group: v0.4-1.4b-128-early_1ngsckkl - train/lm_loss__MAX","Group: v0.4-1.4b-256-early_tlg3bi7q - train/lm_loss","Group: v0.4-1.4b-256-early_tlg3bi7q - train/lm_loss__MIN","Group: v0.4-1.4b-256-early_tlg3bi7q - train/lm_loss__MAX","Group: v0.4-1.4b-64-early_1vfzd8t9 - train/lm_loss","Group: v0.4-1.4b-64-early_1vfzd8t9 - train/lm_loss__MIN","Group: v0.4-1.4b-64-early_1vfzd8t9 - train/lm_loss__MAX","Group: v0.4-1.4b-8-early_1a2hrrt6 - train/lm_loss","Group: v0.4-1.4b-8-early_1a2hrrt6 - train/lm_loss__MIN","Group: v0.4-1.4b-8-early_1a2hrrt6 - train/lm_loss__MAX"
"78","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.351029872894287","7.351029872894287","7.351029872894287","6.921222686767578","6.921222686767578","6.921222686767578"
"79","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.342555046081543","7.342555046081543","7.342555046081543","6.970989227294922","6.970989227294922","6.970989227294922"
"80","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2297821044921875","7.2297821044921875","7.2297821044921875","6.82400369644165","6.82400369644165","6.82400369644165"
"81","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.280950546264648","7.280950546264648","7.280950546264648","6.925265789031982","6.925265789031982","6.925265789031982"
"82","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.174842834472656","7.174842834472656","7.174842834472656","6.822967529296875","6.822967529296875","6.822967529296875"
"83","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.199087142944336","7.199087142944336","7.199087142944336","6.853578567504883","6.853578567504883","6.853578567504883"
"84","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.152739524841309","7.152739524841309","7.152739524841309","6.826460361480713","6.826460361480713","6.826460361480713"
"85","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1458821296691895","7.1458821296691895","7.1458821296691895","6.816272735595703","6.816272735595703","6.816272735595703"
"86","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.068029403686523","7.068029403686523","7.068029403686523","6.750681400299072","6.750681400299072","6.750681400299072"
"87","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.011016845703125","7.011016845703125","7.011016845703125","6.690319061279297","6.690319061279297","6.690319061279297"
"88","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.025561332702637","7.025561332702637","7.025561332702637","6.7222676277160645","6.7222676277160645","6.7222676277160645"
"89","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.955367088317871","6.955367088317871","6.955367088317871","6.667758941650391","6.667758941650391","6.667758941650391"
"90","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.946091651916504","6.946091651916504","6.946091651916504","6.644535064697266","6.644535064697266","6.644535064697266"
"91","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.928788185119629","6.928788185119629","6.928788185119629","6.661521911621094","6.661521911621094","6.661521911621094"
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9146833419799805","6.9146833419799805","6.9146833419799805","6.615450859069824","6.615450859069824","6.615450859069824"
"93","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.923945426940918","6.923945426940918","6.923945426940918","6.6671576499938965","6.6671576499938965","6.6671576499938965"
"94","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.849489212036133","6.849489212036133","6.849489212036133","6.568449974060059","6.568449974060059","6.568449974060059"
"95","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.803905010223389","6.803905010223389","6.803905010223389","6.552992820739746","6.552992820739746","6.552992820739746"
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.762730598449707","6.762730598449707","6.762730598449707","6.509743690490723","6.509743690490723","6.509743690490723"
"97","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.751373767852783","6.751373767852783","6.751373767852783","6.508901119232178","6.508901119232178","6.508901119232178"
"98","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.733373165130615","6.733373165130615","6.733373165130615","6.4987592697143555","6.4987592697143555","6.4987592697143555"
"99","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.737274169921875","6.737274169921875","6.737274169921875","6.487719535827637","6.487719535827637","6.487719535827637"
"100","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.697587490081787","6.697587490081787","6.697587490081787","6.469244480133057","6.469244480133057","6.469244480133057"
"101","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.643793106079102","6.643793106079102","6.643793106079102","6.402156829833984","6.402156829833984","6.402156829833984"
"102","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.656491279602051","6.656491279602051","6.656491279602051","6.43095588684082","6.43095588684082","6.43095588684082"
"103","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.581990718841553","6.581990718841553","6.581990718841553","6.360690116882324","6.360690116882324","6.360690116882324"
"104","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.609847068786621","6.609847068786621","6.609847068786621","6.400242805480957","6.400242805480957","6.400242805480957"
"105","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.580989837646484","6.580989837646484","6.580989837646484","6.381529808044434","6.381529808044434","6.381529808044434"
"106","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.578064441680908","6.578064441680908","6.578064441680908","6.364163398742676","6.364163398742676","6.364163398742676"
"107","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.528727054595947","6.528727054595947","6.528727054595947","6.312841415405273","6.312841415405273","6.312841415405273"
"108","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.482954025268555","6.482954025268555","6.482954025268555","6.288635730743408","6.288635730743408","6.288635730743408"
"109","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.432313919067383","6.432313919067383","6.432313919067383","6.253135681152344","6.253135681152344","6.253135681152344"
"110","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4407958984375","6.4407958984375","6.4407958984375","6.251034736633301","6.251034736633301","6.251034736633301"
"111","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.411425590515137","6.411425590515137","6.411425590515137","6.2426652908325195","6.2426652908325195","6.2426652908325195"
"112","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.337921142578125","6.337921142578125","6.337921142578125","6.151017189025879","6.151017189025879","6.151017189025879"
"113","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.396772384643555","6.396772384643555","6.396772384643555","6.253727912902832","6.253727912902832","6.253727912902832"
"114","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2987446784973145","6.2987446784973145","6.2987446784973145","6.143566131591797","6.143566131591797","6.143566131591797"
"115","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.28187370300293","6.28187370300293","6.28187370300293","6.1268391609191895","6.1268391609191895","6.1268391609191895"
"116","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.305963516235352","6.305963516235352","6.305963516235352","6.146094799041748","6.146094799041748","6.146094799041748"
"117","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.305411338806152","6.305411338806152","6.305411338806152","6.146402835845947","6.146402835845947","6.146402835845947"
"118","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.294463157653809","6.294463157653809","6.294463157653809","6.155053615570068","6.155053615570068","6.155053615570068"
"119","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.283503532409668","6.283503532409668","6.283503532409668","6.130758762359619","6.130758762359619","6.130758762359619"
"120","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.21165657043457","6.21165657043457","6.21165657043457","6.067004680633545","6.067004680633545","6.067004680633545"
"121","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2018513679504395","6.2018513679504395","6.2018513679504395","6.049019813537598","6.049019813537598","6.049019813537598"
"122","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.208581924438477","6.208581924438477","6.208581924438477","6.0742106437683105","6.0742106437683105","6.0742106437683105"
"123","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2396745681762695","6.2396745681762695","6.2396745681762695","6.106351852416992","6.106351852416992","6.106351852416992"
"124","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.181863307952881","6.181863307952881","6.181863307952881","6.055119514465332","6.055119514465332","6.055119514465332"
"125","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.164655685424805","6.164655685424805","6.164655685424805","6.016559600830078","6.016559600830078","6.016559600830078"
"126","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.134651184082031","6.134651184082031","6.134651184082031","5.997363090515137","5.997363090515137","5.997363090515137"
"127","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.087374687194824","6.087374687194824","6.087374687194824","5.971226215362549","5.971226215362549","5.971226215362549"
"128","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.070995330810547","6.070995330810547","6.070995330810547","5.9478559494018555","5.9478559494018555","5.9478559494018555"
"129","","","","","","","","","","","","","","","","","","","","","","6.587084770202637","6.587084770202637","6.587084770202637","","","","6.043512344360352","6.043512344360352","6.043512344360352","5.916174411773682","5.916174411773682","5.916174411773682"
"130","","","","","","","","","","","","","","","","","","","","","","6.748274803161621","6.748274803161621","6.748274803161621","","","","6.07174015045166","6.07174015045166","6.07174015045166","5.941249847412109","5.941249847412109","5.941249847412109"
"131","","","","","","","","","","","","","","","","","","","","","","6.626631259918213","6.626631259918213","6.626631259918213","","","","5.979369640350342","5.979369640350342","5.979369640350342","5.874912261962891","5.874912261962891","5.874912261962891"
"132","","","","","","","","","","","","","","","","","","","","","","6.608874320983887","6.608874320983887","6.608874320983887","","","","6.031857490539551","6.031857490539551","6.031857490539551","5.899624824523926","5.899624824523926","5.899624824523926"
"133","","","","","","","","","","","","","","","","","","","","","","6.539413928985596","6.539413928985596","6.539413928985596","","","","6.001713752746582","6.001713752746582","6.001713752746582","5.898123741149902","5.898123741149902","5.898123741149902"
"134","","","","","","","","","","","","","","","","","","","","","","6.4846110343933105","6.4846110343933105","6.4846110343933105","","","","5.970935821533203","5.970935821533203","5.970935821533203","5.856947898864746","5.856947898864746","5.856947898864746"
"135","","","","","","","","","","","","","","","","","","","","","","6.45938777923584","6.45938777923584","6.45938777923584","","","","5.936323642730713","5.936323642730713","5.936323642730713","5.843141555786133","5.843141555786133","5.843141555786133"
